source_stage,source_dir,source_csv,budget,layout,baseline,delta_mean,delta_std,delta_sem,ci95_low,ci95_high,cohens_dz,paired_t_p,wilcoxon_p,win_count,count
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,graph_sampling_laplacian,-0.637021459423479,0.16923688293586,0.0535174014184601,-0.7580862323765953,-0.5159566864703626,-3.764081731905374,8.250389697583849e-07,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,greedy_a_trace,-0.1107013834807396,0.0581304961849247,0.018382476946009,-0.1522854353741269,-0.0691173315873523,-1.90435985835346,0.000197087442055,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,greedy_d_logdet,-0.8235485775958123,0.1976098366314733,0.0624897171809231,-0.9649101389178716,-0.682187016273753,-4.16754849674647,3.4526762225074925e-07,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,multistart_swap_by_validation,-0.0422645769464094,0.0779470734824376,0.0246490289149015,-0.0980245542622741,0.0134954003694551,-0.5422214723164963,0.1205510207051907,0.193359375,7,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,observability_proxy,-0.5689194928221116,0.0665188400839042,0.0210351041977643,-0.6165042044532908,-0.5213347811909325,-8.552757265528061,6.254431304077582e-10,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,qr_pod_modes,-0.4293540348917849,0.1369155313800683,0.0432964926213272,-0.52729750579916,-0.3314105639844097,-3.1359045286098826,3.836405480332005e-06,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,random,-0.2198711647798969,0.0608216725524172,0.0192335016366585,-0.263380368272955,-0.1763619612868388,-3.615013457421908,1.1627834920587876e-06,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,scenario_cvar_a_trace,-0.229920409893052,0.1296017214933521,0.0409836628597791,-0.3226318963890082,-0.1372089233970958,-1.7740536718476052,0.0003300018778079,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,swap_from_scenario_cvar,-0.0970162517457481,0.0721306004582515,0.022809698644366,-0.1486153749153692,-0.0454171285761271,-1.3450082368564245,0.0021321132680286,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,top_variance,-0.0729225375867363,0.0561101896126741,0.0177435999119971,-0.1130613492214862,-0.0327837259519864,-1.299630924260229,0.0026378236780894,0.005859375,9,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,best_random_by_validation,-0.1627200539954857,0.0974992117991753,0.0308319579356557,-0.2324667884827223,-0.0929733195082492,-1.6689371225959195,0.0005086896098003,0.00390625,9,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,graph_sampling_laplacian,-0.7206170821591819,0.1735587177238037,0.0548840855785454,-0.8447735094743181,-0.5964606548440456,-4.152007410575313,3.565347980110225e-07,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,greedy_a_trace,-0.2664194940887986,0.1043018676758046,0.0329831466065035,-0.3410325554363239,-0.1918064327412733,-2.5543118261016637,2.049336777738897e-05,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,greedy_d_logdet,-0.795033725716794,0.2170798808849585,0.0686466857794517,-0.9503233176551384,-0.6397441337784496,-3.662401704274575,1.0412204745957668e-06,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,multistart_swap_by_validation,-0.1199993790911308,0.0867981281520664,0.0274479781599711,-0.1820910194900383,-0.0579077386922233,-1.3825111398819252,0.0017921658897503,0.00390625,9,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,observability_proxy,-0.8029473436894689,0.1559596827653137,0.0493187820695699,-0.91451417980863,-0.6913805075703077,-5.148428936584427,5.5266373694461233e-08,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,qr_pod_modes,-0.3622802019286338,0.0972047318868276,0.0307388352108372,-0.4318162781769029,-0.2927441256803648,-3.726981134523626,8.975678999598393e-07,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,random,-0.3195068869114615,0.0643885029454593,0.0203614324436111,-0.3655676471586083,-0.2734461266643148,-4.962172939198508,7.621276667282346e-08,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,scenario_cvar_a_trace,-0.3175640772990529,0.1559101030385144,0.0493031035833244,-0.4290954462182521,-0.2060327083798536,-2.0368409173625204,0.0001193839563261,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,swap_from_scenario_cvar,-0.2157989576332592,0.0709482866811383,0.0224358181998985,-0.266552304477398,-0.1650456107891204,-3.041637335135672,4.941503003923e-06,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.3,validation_swap_selected,top_variance,-0.1161679236958347,0.0967974677330407,0.0306100469773064,-0.1854126607191379,-0.0469231866725314,-1.2001132510637162,0.0042492820177044,0.013671875,9,10
