budget,layout_type,mean,std,count
0.2,validation_swap_selected,3.1581368428972865,,1
0.2,rcss_selected,3.1753954521693903,,1
0.2,top_variance,3.208908806354434,,1
0.2,swap_from_best_random_trace,3.264641879338673,,1
0.2,best_random_by_validation,3.3164694124917644,,1
0.2,multistart_swap_by_validation,3.316485715178541,,1
0.2,swap_from_scenario_average,3.330989612507844,,1
0.2,swap_from_greedy_a_trace,3.3341049852492506,,1
0.2,greedy_a_trace,3.3361253911477613,,1
0.2,swap_from_scenario_cvar,3.353091745691051,,1
0.2,coverage,3.416141369928642,,1
0.2,robust_coverage_cvar,3.4230588599813885,,1
0.2,random,3.4443323134829917,0.07627435032615526,50
0.2,best_random_by_trace,3.4540677576808467,,1
0.2,scenario_average_a_trace,3.508071735165817,,1
0.2,scenario_cvar_a_trace,3.5272214891804867,,1
0.2,degree,3.829606502382573,,1
0.2,greedy_d_logdet,3.913042402747825,,1
