budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.2,coverage,4,0,3.806301818033424,0.0,,,304.99176202041605,0.0,,,211.56306825225053,0.0,,,1283.125553476915,0.0,,,0.0386308099006583,0.0,,,0.28614706300945875,0.012167340011194029,,
0.2,degree,4,0,4.201600828962141,0.0,,,345.52830860088835,0.0,,,252.75851437310945,0.0,,,1652.5023737186611,0.0,,,0.1400114568053675,0.0,,,0.5870097201817326,0.007039255420102916,,
0.2,greedy_a_trace,4,0,3.5873719287163337,0.0,,,252.7847156076752,0.0,,,174.72420231476252,0.0,,,827.4429067049239,0.0,,,0.0354842330684903,0.0,,,0.11951920305195081,0.01500744575620617,,
0.2,greedy_d_logdet,4,0,4.744222670667991,0.0,,,285.7083645759104,0.0,,,197.79730707403544,0.0,,,2495.738821564474,0.0,,,0.0488947808357289,0.0,,,1.0,0.0,,
0.2,multistart_swap_by_validation,4,2,3.4707452506281133,0.024590063419910393,3.4494496310258005,0.0,254.38052365754868,2.488235984548094,256.5353992307779,0.0,178.64314715984762,2.800423894512799,181.06838539386064,0.0,796.0633858446615,34.32229530214113,766.3394061968161,0.0,0.03552744268486495,0.00019977877863997824,0.0357004561823042,0.0,0.0305152181238679,0.03523593879639056,0.0,0.0
0.2,quality_coverage_sample,300,2,3.6123982221734012,0.08604131981436494,3.410652501009182,0.0,301.2057499327429,6.231566564029843,297.24082788608905,0.0,206.1138204486272,11.60031160371104,204.1918085361663,0.0,971.9102803159358,118.93678486994467,966.6960858947276,0.0,0.03635952129615653,0.0014785956607979642,0.0381014541603197,0.0,0.14281691924493017,0.06603965224131532,0.0,0.0
0.2,random_validation_pool,200,0,3.715874200364845,0.10175905947284393,,,299.9350500747595,6.469076345964648,,,201.24307810186795,9.983129144935454,,,952.7235453758009,137.8360518778451,,,0.04105788451536462,0.003615811269434121,,,0.21745002647187395,0.07713344466879658,,
0.2,robust_coverage_cvar,4,0,3.572752369103352,0.0,,,276.6253793244582,0.0,,,136.50616216660916,0.0,,,847.0925354616254,0.0,,,0.0324602135041356,0.0,,,0.10839223478173801,0.015197100514521288,,
0.2,scenario_average_a_trace,4,0,3.7150949716732007,0.0,,,276.60680416259913,0.0,,,135.61040392832885,0.0,,,843.3767736997646,0.0,,,0.0386330615580876,0.0,,,0.21672939843253305,0.013350536554800433,,
0.2,scenario_cvar_a_trace,4,0,3.709168120753378,0.0,,,280.1272824275949,0.0,,,132.64955031354688,0.0,,,796.9195420911111,0.0,,,0.0463980311740167,0.0,,,0.21221846350200435,0.013427423650480783,,
0.2,swap_from_best_random_trace,4,0,3.6082213620429213,0.07663705069229124,,,253.53799889936366,1.1069739391791558,,,173.6704525947557,0.5444867247784866,,,859.4381382035147,2.5186851322155888,,,0.0360316025531165,0.0010772093556414978,,,0.1361333778631015,0.04359159883154035,,
0.2,swap_from_greedy_a_trace,4,0,3.57763027548802,0.0,,,249.30639316256529,0.0,,,178.42547046875467,0.0,,,854.5465569043888,0.0,,,0.0352305114220355,0.0,,,0.1121048164876246,0.01513382103272028,,
0.2,swap_from_scenario_average,4,0,3.620578879533594,0.0,,,251.1168872522984,0.0,,,172.16133832620864,0.0,,,850.1390367533809,0.0,,,0.0377290889796368,0.0,,,0.1447930620378301,0.014576662859980223,,
0.2,swap_from_scenario_cvar,4,0,3.5042928618137035,0.0,,,252.20783970161008,0.0,,,172.41870373957892,0.0,,,843.8176081186758,0.0,,,0.0364012375264384,0.0,,,0.05628760334469575,0.016085203279111893,,
0.2,top_variance,4,0,3.662077665399245,0.0,,,365.34597494398486,0.0,,,270.48553322167515,0.0,,,1514.6376830720258,0.0,,,0.060086035112792,0.0,,,0.17637784884422675,0.014038312703609649,,
0.2,validation_swap,12,0,3.3350772866703693,0.038748796058357966,,,291.44206647017,15.352166416432958,,,199.47189448936015,5.357176117936763,,,970.5303471964921,180.93674778056166,,,0.037266506550873664,0.0018260758759047963,,,0.4885521836169495,0.46050582249278815,,
