budget,layout_type,mean,std,count
0.1,multistart_swap_by_validation,3.5782546901296874,0.2963308016742473,10
0.1,swap_from_best_random_trace,3.5983987692025954,0.29119192727980514,10
0.1,rcss_selected,3.602807376953436,0.2934766050825768,10
0.1,validation_swap_selected,3.605467497085809,0.2871487425953493,10
0.1,swap_from_scenario_average,3.6081354061545303,0.2917474138094854,10
0.1,swap_from_greedy_a_trace,3.618488979571089,0.3011667312692165,10
0.1,swap_from_scenario_cvar,3.6315235439920377,0.3079818858449779,10
0.1,robust_coverage_cvar,3.6739475868273943,0.32874411617128124,10
0.1,greedy_a_trace,3.685978673106514,0.34343592693915614,10
0.1,scenario_cvar_a_trace,3.6874145904740594,0.37705076470200605,10
0.1,scenario_average_a_trace,3.688937222193485,0.3207622037306089,10
0.1,best_random_by_validation,3.691262365612154,0.30507447653525865,10
0.1,top_variance,3.7304124113097687,0.3412403302997044,10
0.1,best_random_by_trace,3.740092506854565,0.3092292530529075,10
0.1,random,3.8358647019644523,0.3245977505576887,2000
0.1,coverage,3.917373872743508,0.3429387530600468,10
0.1,degree,4.146553304242128,0.29950659458184403,10
0.1,greedy_d_logdet,4.555444548458219,0.6117382334215858,10
0.2,validation_swap_selected,3.3095081374608504,0.2860470806865293,10
0.2,rcss_selected,3.3761681168549544,0.2664828756385941,10
0.2,best_random_by_validation,3.3968774429759114,0.2886601632196364,10
0.2,multistart_swap_by_validation,3.3970416827835406,0.2839489788255136,10
0.2,top_variance,3.4276103978314554,0.33837187463494245,10
0.2,robust_coverage_cvar,3.4398152391796075,0.288588868500199,10
0.2,swap_from_scenario_cvar,3.4467013520187555,0.2907798360434675,10
0.2,swap_from_greedy_a_trace,3.4505423082730147,0.30848823270318604,10
0.2,swap_from_scenario_average,3.4516795691245528,0.2951115998094366,10
0.2,greedy_a_trace,3.4653892437254576,0.3239980437837869,10
0.2,scenario_cvar_a_trace,3.4680406029316018,0.29691271077814707,10
0.2,swap_from_best_random_trace,3.4722898887122193,0.2833006990841564,10
0.2,scenario_average_a_trace,3.502999527993791,0.2945013538528118,10
0.2,best_random_by_trace,3.5636666894002973,0.31960663677627443,10
0.2,random,3.5647923418537446,0.2928478973010385,2000
0.2,coverage,3.6481573663164624,0.3414809887402537,10
0.2,degree,4.111081819974354,0.34533498029061765,10
0.2,greedy_d_logdet,4.178236437840534,0.4787520665689334,10
0.3,validation_swap_selected,3.066529724686683,0.24974140581624385,10
0.3,rcss_selected,3.1330370870346718,0.24606773757604736,10
0.3,best_random_by_validation,3.1832066259794654,0.2731449788982197,10
0.3,top_variance,3.2003911838311803,0.29169849703259415,10
0.3,multistart_swap_by_validation,3.2195793465512046,0.2941788173046352,10
0.3,robust_coverage_cvar,3.2933800087364573,0.27733414001469886,10
0.3,swap_from_best_random_trace,3.3167062184649945,0.3007280641552436,10
0.3,scenario_cvar_a_trace,3.3260253647202838,0.29166913984612397,10
0.3,swap_from_scenario_average,3.3265168702735854,0.28013394344093245,10
0.3,swap_from_scenario_cvar,3.3342364103131485,0.28335168462156135,10
0.3,scenario_average_a_trace,3.3349099478301056,0.2978262304720368,10
0.3,swap_from_greedy_a_trace,3.3493999342733716,0.2824597509867696,10
0.3,greedy_a_trace,3.350642754224144,0.30942821774033374,10
0.3,coverage,3.3778428277326142,0.2990500623411418,10
0.3,random,3.4032310159611847,0.27571624293376445,2000
0.3,best_random_by_trace,3.4088417888790152,0.297709532267967,10
0.3,greedy_d_logdet,3.8792569858521397,0.43577394304183736,10
0.3,degree,3.9761529666438897,0.3608309268126659,10
